John Walsh	MT	senate	D	SenWalshOffice
Bradley Byrne	AL	house	R	RepByrne
Katherine Clark	MA	house	D	RepKClark
Vance McAllister	LA	house	R	RepMcAllister
Cory Booker	NJ	senate	D	SenBookerOfc
Jason Smith	MO	house	R	RepJasonSmith
Robin Kelly	IL	house	D	RepRobinKelly
Mark Pocan	WI	house	D	RepMarkPocan
Denny Heck	WA	house	D	RepDennyHeck
Derek Kilmer	WA	house	D	RepDerekKilmer
Timothy Kaine	VA	senate	D	SenKaineOffice
Chris Stewart	UT	house	R	RepChrisStewart
Filemon Vela	TX	house	D	RepFilemonVela
Marc Veasey	TX	house	D	RepVeasey
Roger Williams	TX	house	R	RepRWilliams
Pete Gallego	TX	house	D	RepPeteGallego
Joaquin Castro	TX	house	D	JoaquinCastrotx
Beto O'Rourke	TX	house	D	RepBetoORourke
Randy Weber	TX	house	R	TXRandy14
Ted Cruz	TX	senate	R	SenTedCruz
Tom Rice	SC	house	R	RepTomRice
Matthew Cartwright	PA	house	D	RepCartwright
Keith Rothfus	PA	house	R	KeithRothfus
Scott Perry	PA	house	R	RepScottPerry
Markwayne Mullin	OK	house	R	RepMullin
Jim Bridenstine	OK	house	R	RepJBridenstine
David Joyce	OH	house	R	RepDaveJoyce
Joyce Beatty	OH	house	D	RepBeatty
Brad Wenstrup	OH	house	R	RepBradWenstrup
Chris Collins	NY	house	R	RepChrisCollins
Sean Maloney	NY	house	D	RepSeanMaloney
Hakeem Jeffries	NY	house	D	RepJeffries
Grace Meng	NY	house	D	RepGraceMeng
Steven Horsford	NV	house	D	RepHorsford
Michelle Lujan Grisham	NM	house	D	RepLujanGrisham
Ann Kuster	NH	house	D	RepAnnieKuster
Deb Fischer	NE	senate	R	SenatorFischer
Kevin Cramer	ND	house	R	RepKevinCramer
Heidi Heitkamp	ND	senate	D	SenatorHeitkamp
George Holding	NC	house	R	RepHolding
Mark Meadows	NC	house	R	RepMarkMeadows
Robert Pittenger	NC	house	R	RepPittenger
Richard Hudson	NC	house	R	RepRichHudson
Steve Daines	MT	house	R	SteveDaines
Ann Wagner	MO	house	R	RepAnnWagner
Kerry Bentivolio	MI	house	R	RepKerryB
Daniel Kildee	MI	house	D	RepDanKildee
Angus King	ME	senate	I	SenAngusKing
John Delaney	MD	house	D	RepJohnDelaney
Joseph Kennedy	MA	house	D	RepJoeKennedy
Elizabeth Warren	MA	senate	D	SenWarren
Garland Barr	KY	house	R	RepAndyBarr
Luke Messer	IN	house	R	RepLukeMesser
Susan Brooks	IN	house	R	SusanWBrooks
Jackie Walorski	IN	house	R	RepWalorski
Cheri Bustos	IL	house	D	RepCheri
Rodney Davis	IL	house	R	RodneyDavis
William Enyart	IL	house	D	RepBillEnyart
Bradley Schneider	IL	house	D	RepSchneider
Tammy Duckworth	IL	house	D	RepDuckworth
Tulsi Gabbard	HI	house	D	TulsiPress
Doug Collins	GA	house	R	RepDougCollins
Joe Garcia	FL	house	D	RepJoeGarcia
Lois Frankel	FL	house	D	RepLoisFrankel
Patrick Murphy	FL	house	D	RepMurphyFL
Ron DeSantis	FL	house	R	RepDeSantis
Ted Yoho	FL	house	R	RepTedYoho
Elizabeth Esty	CT	house	D	RepEsty
Scott Peters	CA	house	D	RepScottPeters
Juan Vargas	CA	house	D	RepJuanVargas
Alan Lowenthal	CA	house	D	RepLowenthal
Mark Takano	CA	house	D	RepMarkTakano
Raul Ruiz	CA	house	D	CongressmanRuiz
Gloria Negrete McLeod	CA	house	D	RepMcLeod
Tony Cárdenas	CA	house	D	RepCardenas
Julia Brownley	CA	house	D	JuliaBrownley26
David Valadao	CA	house	R	RepDavidValadao
Eric Swalwell	CA	house	D	RepSwalwell
Paul Cook	CA	house	R	RepPaulCook
Ami Bera	CA	house	D	RepBera
Jared Huffman	CA	house	D	RepHuffman
Doug LaMalfa	CA	house	R	RepLaMalfa
Kyrsten Sinema	AZ	house	D	RepSinema
Tom Cotton	AR	house	R	RepTomCotton
Brian Schatz	HI	senate	D	SenBrianSchatz
Dina Titus	NV	house	D	RepDinaTitus
Carol Shea-Porter	NH	house	D	RepSheaPorter
Daniel Maffei	NY	house	D	RepDanMaffei
Ann Kirkpatrick	AZ	house	D	RepKirkpatrick
Bill Foster	IL	house	D	RepBillFoster
Marshall Sanford	SC	house	R	RepSanfordSC
Matt Salmon	AZ	house	R	RepMattSalmon
Steve Stockman	TX	house	R	SteveWorks4You
Richard Nolan	MN	house	D	USRepRickNolan
Donald Payne	NJ	house	D	RepDonaldPayne
Thomas Massie	KY	house	R	RepThomasMassie
Suzan DelBene	WA	house	D	RepDelBene
Ron Barber	AZ	house	D	RepRonBarber
Suzanne Bonamici	OR	house	D	RepBonamici
Mark Amodei	NV	house	R	MarkAmodeiNV2
Janice Hahn	CA	house	D	Rep_JaniceHahn
Dean Heller	NV	senate	R	SenDeanHeller
Todd Young	IN	house	R	RepToddYoung
Don Young	AK	house	R	RepDonYoung
Kevin Yoder	KS	house	R	RepKevinYoder
John Yarmuth	KY	house	D	RepJohnYarmuth
Ron Wyden	OR	senate	D	RonWyden
Steve Womack	AR	house	R	Rep_SteveWomack
Frank Wolf	VA	house	R	RepWOLFPress
Robert Wittman	VA	house	R	RobWittman
