SenShelbyPress	Senator Richard Shelby
AllenWest	Representative Allen West 
RepRivera	Representative David Rivera 
saxby08	Senator Saxby Chambliss 
SenatorIsakson	Senator Johnny Isakson 
JackKingston	Representative Jack Kingston 
sanfordbishop	Representative Sanford D. Bishop, Jr. 
RepWestmoreland	Representative Lynn Westmoreland 
RepHankJohnson	Representative Hank Johnson 
RepTomPrice	Representative Tom Price 
AustinScottGA08	Representative Austin Scott 
reptomgraves	Representative Tom Grav
RepPaulBrounMD	Representative Paul C. Broun 
RepPhilGingrey	Representative Phil Gingrey 
repjohnbarrow	Representative John Barrow
RepDavidScott	Representative David Scott 
Daniel_Inouye	Senator Dan Inouye 
danakaka	Senator Daniel Kahikina Akaka 
@rephanabusa	Representative Colleen Hanabusa
maziehirono	Representative Mazie Hirono 
labrador4idaho	Representative Raul Labrador
mikesimpson4id	Representative Mike Simpson
SenatorDurbin	Senator Dick Durbin 
SENATORKIRK	Senator Mark Kirk 
JacksonJrOnline	Representative Jesse L. Jackson, Jr. 
repgutierrez	Representative Luis V. Gutierrez 
RepMikeQuigley	Representative Mike Quigley
PeterRoskam	Representative Peter Roskam 
DannyKDavis	Representative Danny K. Davis
RepJoeWalsh	Representative Joe Walsh
janschakowsky	Representative Janice Schakowsky 
repdold	Representative Robert J. Dold
repkinzinger	Representative Adam Kinzinger 
jerrycostello	Representative Jerry F. Costello 
JudyBiggert	Representative Judy Biggert 
rephultgren	Representative Randy Hultgren
donmanzullo	Representative Don Manzullo 
RepSchilling	Representative Bobby Schilling 
repaaronschock	Representative Aaron Schock
RepShimkus	Representative John Shimkus
senatorlugar	Senator Richard G. Lugar 
SenDanCoats	Senator Dan Coats 
repvisclosky	Representative Peter J. Visclosky 
RepDonnelly#	Representative Joe Donnelly 
toddrokita	Representative Todd Rokita 
RepDanBurton	Representative Dan Burton
RepMikePence	Representative Mike Pence
repandrecarson	Representative Andre Carson 
RepLarryBucshon	Representative Larry Bucshon
RepToddYoung	Representative Todd Young
ChuckGrassley	Senator Chuck Grassley
SenatorHarkin	Senator Tom Harkin 
BruceBraley	Representative Bruce Braley
LeonardBoswell	Representative Leonard L. Boswell 
TomLatham	Representative Tom Latham
SteveKingIA	Representative Steve King 
senpatroberts	Senator Pat Roberts 
moranforkansas	Senator Jerry Moran
conghuelskamp	<span>Representative Tim Huelskamp </span>
replynnjenkins	Representative Lynn Jenkins 
kevinyoder	Representative Kevin Yoder
repmikepompeo	Representative Mike Pompeo
SenRandPaul	Senator Rand Paul 
RepGuthrie	Representative John YarmuthRepresentative Ed WhitfieldRepresentative Brett Guthrie
RepGeoffDavis	Representative Geoff Davis
DavidVitter	Senator David Vitter
repjefflandry	Representative Jeff Landry
RepFleming	Representative John Fleming
USRepAlexander	Representative Rodney Alexander 
drcassidy	Representative Bill Cassidy 
Repboustany	Representative Charles W. Boustany, Jr. 
senatorsnowe	Senator Olympia J. Snowe
senatorcollins	Senator Susan Collins 
chelliepingree	Representative Chellie Pingree 
RepMikeMichaud	Representative Mike Michaud
senatorbarb	Senator Barbara Mikulski 
senatorcardin	Senator Benjamin L. Cardin 
WhipHoyer	Representative Steny Hoyer
JohnKerry	Senator John Kerry 
ussenscottbrown	Senator Scott Brown 
repmcgovern	Representative Jim McGovern 
nikiinthehouse	Representative Niki Tsongas
stabenow	Senator Debbie Stabenow 
SenCarlLevin	Senator Carl Levin
congressmandan	Representative Dan Benishek 
RepHuizenga	Representative Bill Huizenga 
repjustinamash	Representative Justin Amash 
RepDaveCamp	Representative Dave Camp 
RepWalberg	Representative Tim Walberg 
RepGaryPeters#	Representative Gary Peters 
CandiceMiller	Representative Candice Miller 
ThadMcCotter	Representative Thaddeus McCotter 
repsandylevin	Representative Sandy Levin
HansenClarke	Representative Hansen Clarke 
repjohnconyers	Representative John Conyers, Jr. 
john_dingell	Representative John Dingell
DaleKildee	Representative Dale E. Kildee
RepFredUpton	Representative Fred Upton
AlFranken	Senator Al Franken
repjohnkline	Representative John Kline
RepErikPaulsen	Representative Erik Paulsen 
keithellison	Representative Keith Ellison 
MicheleBachmann	Representative Michele Bachmann
chipcravaack	Representative Chip Cravaack
rogerwicker	Senator Roger Wicker
RepAlanNunnelee	Representative Alan Nunnelee
GreggHarper	Representative Gregg Harper 
